round,date,token_symbol,amount,usd_amount,choice,block_number,choice_index,token_name,token_price,token_addr,score,proposal,tx_hash,per_vote
5,2021-11-11,ALCX,109.0944,48537.72173282576,harmony-3pool,block_number,choice_index,Alchemix,444.9148786081207,0xdBdb4d16EdA451D0503b854CF79D55697F90c8DF,0,proposal,tx_hash,0
5,2021-11-11,ALCX,1344.0,597965.5968493143,reth,block_number,choice_index,Alchemix,444.9148786081207,0xdBdb4d16EdA451D0503b854CF79D55697F90c8DF,204.20079568326915,proposal,tx_hash,2928.3215809638864
5,2021-11-11,ALCX,1440.0,640677.4251956939,fantom-tricrypto,block_number,choice_index,Alchemix,444.9148786081207,0xdBdb4d16EdA451D0503b854CF79D55697F90c8DF,113.41215928156915,proposal,tx_hash,5649.107020395226
5,2021-11-11,TRIBE,40320.0,49584.947099476485,harmony-3pool,block_number,choice_index,Tribe,1.229785394332254,0xc7283b66Eb1EB5FB86327f08e1B5816b0720212B,0,proposal,tx_hash,0
5,2021-11-11,MTA,148800.0,159893.39575020553,usdn,block_number,choice_index,Meta,1.074552390794392,0xa3BeD4E1c75D00fa6f4E5E6922DB7261B5E9AcD2,0,proposal,tx_hash,0
5,2021-11-11,DAI,57600.0,57688.76857570455,link,block_number,choice_index,Dai Stablecoin,1.0015411211059817,0x6B175474E89094C44Da98b954EedeAC495271d0F,300.0,proposal,tx_hash,192.2958952523485
5,2021-11-11,EURS,0.96,1.1059969001285543,compound,block_number,choice_index,STASIS EURS Token,1.1520801043005775,0xdB25f211AB05b1c97D595516F45794528a807ad8,0,proposal,tx_hash,0
6,2021-11-25,CRV,96.0,550.0213148402746,mim,block_number,choice_index,Curve DAO Token,5.729388696252861,0xD533a949740bb3306d119CC777fa900bA034cd52,1607648.8036883029,proposal,tx_hash,0.00034212777913833156
6,2021-11-25,CRV,62.4,345.0436271518477,mim,block_number,choice_index,Curve DAO Token,5.529545306920636,0xD533a949740bb3306d119CC777fa900bA034cd52,1607648.8036883029,proposal,tx_hash,0.00021462624570754577
6,2021-11-25,CRV,96.96,508.3754434364761,mim,block_number,choice_index,Curve DAO Token,5.243146075046164,0xD533a949740bb3306d119CC777fa900bA034cd52,1607648.8036883029,proposal,tx_hash,0.0003162229476177571
6,2021-11-25,FXS,135640.31999999998,2319619.4831532175,busdv2,block_number,choice_index,Frax Share,17.101253396875045,0x3432B6A60D23Ca0dFCa7761B7ab56459D9C964D0,1.357203672191014,proposal,tx_hash,1709116.7159962947
6,2021-11-25,ALCX,147.84,50109.90344226118,harmony-3pool,block_number,choice_index,Alchemix,338.9468576992775,0xdBdb4d16EdA451D0503b854CF79D55697F90c8DF,2.357203672191014,proposal,tx_hash,21258.198446502574
6,2021-11-25,ALCX,1363.2,462052.35641565506,reth,block_number,choice_index,Alchemix,338.9468576992775,0xdBdb4d16EdA451D0503b854CF79D55697F90c8DF,2516.1406397523715,proposal,tx_hash,183.63534578143788
6,2021-11-25,ALCX,1440.0,488083.47508695954,fantom-tricrypto,block_number,choice_index,Alchemix,338.9468576992775,0xdBdb4d16EdA451D0503b854CF79D55697F90c8DF,687.144621920969,proposal,tx_hash,710.3067673330285
6,2021-11-25,CVX,24000.0,651363.2703371546,mim,block_number,choice_index,Convex Token,27.14013626404811,0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B,1607648.8036883029,proposal,tx_hash,0.4051651510222773
6,2021-11-25,FXS,2680.32,47534.40741854135,harmony-3pool,block_number,choice_index,Frax Share,17.734601621650157,0x3432B6A60D23Ca0dFCa7761B7ab56459D9C964D0,2.357203672191014,proposal,tx_hash,20165.59195937373
6,2021-11-25,SPELL,86400000.0,1165165.8762475525,eurn,block_number,choice_index,Spell Token,0.013485716160272597,0x090185f2135308BaD17527004364eBcC2D37e5F6,1.357203672191014,proposal,tx_hash,858504.806700498
6,2021-11-25,LUNA,4995.9168,249648.82323803715,paxos-dollar,block_number,choice_index,LUNA,49.97057261602858,0xbd31EA8212119f94A611FA969881CBa3EA06Fa3d,156373.81836465426,proposal,tx_hash,1.5964873522233194
6,2021-11-25,MTA,67200.0,98740.77677176507,usdn,block_number,choice_index,Meta,1.469356797198885,0xa3BeD4E1c75D00fa6f4E5E6922DB7261B5E9AcD2,121.8245408406326,proposal,tx_hash,810.5163055852182
6,2021-11-25,EURS,66643.2,75739.08089613605,ust,block_number,choice_index,STASIS EURS Token,1.1364862566043654,0xdB25f211AB05b1c97D595516F45794528a807ad8,1.639663718278013,proposal,tx_hash,46191.83802864028
6,2021-11-25,OGN,240000.0,247330.23320479938,fixedforex:krw,block_number,choice_index,OriginToken,1.0305426383533307,0x8207c1FfC5B6804F6024322CcF34F29c3541Ae26,1.357203672191014,proposal,tx_hash,182235.16357387952
6,2021-11-25,TRIBE,48000.0,45522.62343873437,harmony-3pool,block_number,choice_index,Tribe,0.9483879883069661,0xc7283b66Eb1EB5FB86327f08e1B5816b0720212B,2.357203672191014,proposal,tx_hash,19312.12986632641
7,2021-12-09,CRV,144.0,593.7191835511708,mim,block_number,choice_index,Curve DAO Token,4.123049885772019,0xD533a949740bb3306d119CC777fa900bA034cd52,2348773.0210389434,proposal,tx_hash,0.00025277844143856365
7,2021-12-09,OGN,960000.0,693291.3160963366,fixedforex:krw,block_number,choice_index,OriginToken,0.7221784542670172,0x8207c1FfC5B6804F6024322CcF34F29c3541Ae26,0,proposal,tx_hash,0
7,2021-12-09,ANGLE,878726.4,413093.8180287613,f-tbtc2,block_number,choice_index,ANGLE,0.4701051635967251,0x31429d1856aD1377A8A0079410B297e1a9e214c2,0,proposal,tx_hash,0
7,2021-12-09,DAI,1.28352,1.2908422086610407,fixedforex:eur,block_number,choice_index,Dai Stablecoin,1.0057047873512222,0x6B175474E89094C44Da98b954EedeAC495271d0F,218.79713539792965,proposal,tx_hash,0.0058997217048265575
7,2021-12-09,CRV,48000.0,167572.00331565522,3eur,block_number,choice_index,Curve DAO Token,3.491083402409484,0xD533a949740bb3306d119CC777fa900bA034cd52,876710.0716817287,proposal,tx_hash,0.19113730836263135
7,2021-12-09,LUNA,14992.5408,915031.219517841,paxos-dollar,block_number,choice_index,LUNA,61.032431508730056,0xbd31EA8212119f94A611FA969881CBa3EA06Fa3d,151471.69035347656,proposal,tx_hash,6.040938853871048
7,2021-12-09,FXS,147040.32,2851069.897120899,busdv2,block_number,choice_index,Frax Share,19.389714991921256,0x3432B6A60D23Ca0dFCa7761B7ab56459D9C964D0,0,proposal,tx_hash,0
7,2021-12-09,FXS,2492.16,48322.272114266474,harmony-3pool,block_number,choice_index,Frax Share,19.389714991921256,0x3432B6A60D23Ca0dFCa7761B7ab56459D9C964D0,0,proposal,tx_hash,0
7,2021-12-09,SPELL,146880000.0,1881939.9762731967,eurn,block_number,choice_index,Spell Token,0.012812772169615991,0x090185f2135308BaD17527004364eBcC2D37e5F6,0,proposal,tx_hash,0
7,2021-12-09,TRIBE,48000.0,49222.25623357059,harmony-3pool,block_number,choice_index,Tribe,1.0254636715327206,0xc7283b66Eb1EB5FB86327f08e1B5816b0720212B,0,proposal,tx_hash,0
7,2021-12-09,CVX,19200.0,565419.7566645636,mim,block_number,choice_index,Convex Token,29.448945659612683,0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B,2348773.0210389434,proposal,tx_hash,0.24072984132560363
7,2021-12-09,ALCX,217.92,48419.202746166666,harmony-3pool,block_number,choice_index,Alchemix,222.18797148571343,0xdBdb4d16EdA451D0503b854CF79D55697F90c8DF,0,proposal,tx_hash,0
7,2021-12-09,ALCX,432.0,95985.2036818282,reth,block_number,choice_index,Alchemix,222.18797148571343,0xdBdb4d16EdA451D0503b854CF79D55697F90c8DF,65.66561430961707,proposal,tx_hash,1461.7270346280866
7,2021-12-09,ALCX,1440.0,317582.1854581595,fantom-tricrypto,block_number,choice_index,Alchemix,220.54318434594407,0xdBdb4d16EdA451D0503b854CF79D55697F90c8DF,0,proposal,tx_hash,0
7,2021-12-09,EURS,66643.2,75542.1401447594,ust,block_number,choice_index,STASIS EURS Token,1.1335311051203933,0xdB25f211AB05b1c97D595516F45794528a807ad8,5301.927276697336,proposal,tx_hash,14.248052868770378
7,2021-12-09,ALCX,1056.0,222993.1332369703,reth,block_number,choice_index,Alchemix,211.167739807737,0xdBdb4d16EdA451D0503b854CF79D55697F90c8DF,65.66561430961707,proposal,tx_hash,3395.8889379385855
8,2021-12-23,OGN,1200000.0,758283.6,fixedforex:krw,block_number,choice_index,OriginToken,0.631903,0x8207c1FfC5B6804F6024322CcF34F29c3541Ae26,0,proposal,tx_hash,0
8,2021-12-23,LUNA,11138.8704,952735.9090578842,paxos-dollar,block_number,choice_index,LUNA,85.53254278439978,0xbd31EA8212119f94A611FA969881CBa3EA06Fa3d,0,proposal,tx_hash,0
8,2021-12-23,LUNA,11138.8704,952735.9090578842,eurn,block_number,choice_index,LUNA,85.53254278439978,0xbd31EA8212119f94A611FA969881CBa3EA06Fa3d,0,proposal,tx_hash,0
8,2021-12-23,ALCX,1.624608,324.2848963838504,rai,block_number,choice_index,Alchemix,199.60808784879208,0xdBdb4d16EdA451D0503b854CF79D55697F90c8DF,466944.40092082386,proposal,tx_hash,0.0006944828886358933
8,2021-12-23,WETH,0.0496128,197.13581716290193,rai,block_number,choice_index,Wrapped Ether,3973.487026793528,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,466944.40092082386,proposal,tx_hash,0.00042218263410835654
8,2021-12-23,YFI,0.0079103904,256.2948482851284,rai,block_number,choice_index,yearn.finance,32399.77236586559,0x0bc529c00C6401aEF6D220BE8C6Ea1667F6Ad93e,466944.40092082386,proposal,tx_hash,0.000548876585263063
8,2021-12-23,MATIC,99.1008,265.71099142626343,rai,block_number,choice_index,Matic Token,2.681219439462279,0x7D1AfA7B718fb893dB30A3aBc0Cfc608AaCfeBB0,466944.40092082386,proposal,tx_hash,0.0005690420334889464
8,2021-12-23,FLX,9.6,6676.359812183911,crv-eth,block_number,choice_index,Flex Ungovernance Token,695.4541471024908,0x6243d8CEA23066d098a15582d81a598b4e8391F4,855252.34865207,proposal,tx_hash,0.0078063039788271405
8,2021-12-23,FLX,796.8,554137.8644112647,crv-eth,block_number,choice_index,Flex Ungovernance Token,695.4541471024908,0x6243d8CEA23066d098a15582d81a598b4e8391F4,855252.34865207,proposal,tx_hash,0.6479232302426527
8,2021-12-23,RAI,1440.0,4375.045221697635,crv-eth,block_number,choice_index,Rai Reflex Index,3.038225848401135,0x03ab458634910AaD20eF5f1C8ee96F1D6ac54919,855252.34865207,proposal,tx_hash,0.005115502142254241
8,2021-12-23,ANGLE,418532.16,150721.39517422317,f-tbtc2,block_number,choice_index,ANGLE,0.3601190292622273,0x31429d1856aD1377A8A0079410B297e1a9e214c2,0,proposal,tx_hash,0
8,2021-12-23,CVX,28800.0,1204269.0499139382,mim,block_number,choice_index,Convex Token,41.81489756645619,0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B,543207.8439546047,proposal,tx_hash,2.216958137325016
8,2021-12-23,CVX,28800.0,1204269.0499139382,rai,block_number,choice_index,Convex Token,41.81489756645619,0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B,466944.40092082386,proposal,tx_hash,2.5790416322352194
8,2021-12-23,CRV,192000.0,997327.226030083,3eur,block_number,choice_index,Curve DAO Token,5.194412635573349,0xD533a949740bb3306d119CC777fa900bA034cd52,61397.63156100642,proposal,tx_hash,16.243741015304646
8,2021-12-23,CRV,96000.0,498663.6130150415,eursusd,block_number,choice_index,Curve DAO Token,5.194412635573349,0xD533a949740bb3306d119CC777fa900bA034cd52,392598.8739478057,proposal,tx_hash,1.2701605789153043
8,2021-12-23,CRV,96000.0,498663.6130150415,frax,block_number,choice_index,Curve DAO Token,5.194412635573349,0xD533a949740bb3306d119CC777fa900bA034cd52,7352551.640585641,proposal,tx_hash,0.0678218443597796
